db,query,url,snippet,model_score,rule_score,rule_score_01,final_score,pos_hits,neg_hits,pos_url_hits,neg_url_hits,good_domain,bad_domain,query_lang,snippet_lang,mixed_lang,rescue_flag,label
Oracle,Большие данные Oracle,https://www.oracle.com/big-data/,"Big Data platform. Seamlessly scale and run Apache Spark, Hive, Trino, Flink, and more. Discover the power of easy development and visualization through Data Science notebooks, leveraging familiar open source tools, all at an exceptional price-to-performance ratio.",0.0014370304998010397,1.0,1.0,0.5506466637249106,5,0,1,0,True,False,ru,en,True,True,useful
Oracle,Большие данные Oracle,https://docs.oracle.com/en/bigdata/,"Oracle Big Data Appliance. An engineered system that provides a high-performance, secure platform for running diverse workloads on Hadoop and NoSQL systems, while integrating tightly with Oracle Database and Oracle Exadata Machine.",0.00802898220717907,1.0,1.0,0.5536130419932306,7,0,1,0,True,False,ru,en,True,True,useful
Oracle,Большие данные Oracle,https://habr.com/ru/articles/1033554/,"Понятно, что они есть, но вот какие и от чего они зависят? Но каждый раз были вопросы и задачи поважнее. И вот недавно произошло то, что рано или поздно должно было произойти — одновременно у двух заказчиков возник вопрос, который, упрощая, выглядит так: «Почему мы загрузили такой‑то объем данных, а место на диске занято больше?». У одного из заказчиков был Oracle, у второго — Postgres.",0.9888689517974854,0.16,0.58,0.7639910283088684,1,0,0,0,False,False,ru,ru,False,False,useful
Oracle,Большие данные Oracle,https://www.fors.ru/upload/magazine/01/html_texts/blog_Ryn_BD(2).html,"Oracle Big Data Appliance–готовое решения для Big Data. Александр Рындин , Oracle СНГ. ... Oracle NoSQL Database. Из этого рисунка можно видеть, что структурированная информация накапливается (вводится) в обычной СУБД Oracle. Эта часть обычно есть в любой компании. Есть менее структурированная – она имеет вид ключ-значение.",0.9988036155700684,0.8,0.9,0.9444616270065308,5,0,0,0,False,False,ru,ru,False,False,useful
Oracle,Большие данные Oracle,https://gsb.hse.ru/data/2014/06/10/1324119444/Oracle_Big_Data_27_05_14.pdf,"Введение в Big Data. Большие Данные. § Сверхбольшие объемы структурированных и неструктурированных данных, с которыми трудно работать с помощью традиционных средств. § Впервые термин появился 3 сентября 2008 года, Клиффорд Линч, редактор научного журнала Nature, в связи с возможностями для науки накопления научных данных. § Источники больших данных– интернет-документы",0.998491644859314,0.32,0.66,0.8123212401866913,2,0,0,0,False,False,ru,ru,False,False,useful
Oracle,Большие данные Oracle,https://www.osp.ru/netcat_files/userfiles/Big_Data_2017/Pivovarov.pdf,Направления работы корпорации Oracle в области Больших данных. • Оптмизированные программно-аппаратные комплексы для Больших данных на базе Cloudera Hadoop Distribution. • Интеграция данных в Hadoop/NoSQL и традиционных реляционных данных. • Разработка собственной Oracle NoSQL Database и других продуктов.,0.998281717300415,0.48,0.74,0.8562267727851869,3,0,0,0,False,False,ru,ru,False,False,useful
Oracle,Большие данные Oracle,https://www.ospcon.ru/files/uploads/file/%D0%9F%D1%80%D0%B5%D0%B7%D0%B5%D0%BD%D1%82%D0%B0%D1%86%D0%B8%D0%B8%20Big%20Data%202012/%D0%9F%D0%B8%D0%B2%D0%BE%D0%B2%D0%B0%D1%80%D0%BE%D0%B2.pdf,"Общие принципы построения Big Data систем. • Построены из большого количества (до десятков тысяч) узлов, на основе относительно дешевого оборудования. • Каждый узел является сервером и хранения и обработки данных. ... Oracle Data Integrator. Интеграция данных из любых источников Расширяемая функциональность: => Создание Hadoop jobs для трансформаций и загрузки данных в Oracle.",0.4177817106246948,0.48,0.74,0.5950017697811127,3,0,0,0,False,False,ru,ru,False,False,unknown
Oracle,Большие данные Oracle,https://en.wikipedia.org/wiki/Oracle_Big_Data_Appliance,"The Oracle data appliance consists of hardware and software from Oracle Corporation sold as a computer appliance. It was announced in 2011, and is used for the consolidating and loading unstructured data into Oracle Database software.",0.05063832923769951,0.16,0.58,0.34178724815696476,1,0,0,0,False,False,ru,en,True,False,spam
Oracle,Большие данные Oracle,https://www.tadviser.ru/index.php/%D0%9F%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82:Oracle_Big_Data_Appliance,"Соответствие требованиям по управлению «большими данными». Оптимизация интеграции «больших данных» с корпоративными хранилищами данных. Oracle Big Data Appliance X3-2. 2013: Защита основания распределенной обработки. ... Выпущенная ранее Oracle NoSQL Database представляет собой распределенную СУБД типа «ключ/значение» (key-value), предназначенную для управления большими объемами данных.",0.9975536465644836,0.96,0.98,0.9878991409540177,6,0,0,0,False,False,ru,ru,False,False,useful
Oracle,Большие данные Oracle,https://static.merlion.ru/data/digital/downloads/OracleBigData.pdf,"Oracle Big Data. Обзор Технологий Oracle BigData. Роман Рахамимов Технический Консультант Roman.Rakhamimov@oracle.com. ... Что Такое Большие Данные? • Феномен, связанный с появлением технологических возможностей анализировать огромные массивы данных.",0.9995077848434448,0.64,0.8200000000000001,0.9007785031795503,4,0,0,0,False,False,ru,ru,False,False,useful
Oracle,Большие данные Oracle,https://synthesis.frccsc.ru/sigmod/seminar/gorchinskaya20120426.pdf,• Платформа Oracle для Больших Данных • Аналитическая in-memory машина Oracle. Exalytics • От бизнес-анализа к исследованию данных –. Oracle Endeca Information Discovery • Встроенная аналитика для статистических. исследований – Oracle R Enterprise. 2. План.,0.9996629953384399,0.32,0.66,0.8128483479022981,2,0,0,0,False,False,ru,ru,False,False,useful
Oracle,Большие данные Oracle,https://buran.group/solutions/data_management/bigdata/,"Oracle Big Data Cloud at Customer: Облачный сервис от Oracle в Вашем собственном ЦОД. ... Получайте данные из разных источников. Собирайте, очищайте и преобразуйте свои данные. Получите возможность делать это как с передаваемыми данными, так и с данными в местах хранения.",0.9988773465156555,0.86,0.9299999999999999,0.960994805932045,4,0,1,0,False,False,ru,ru,False,False,useful
Oracle,Большие данные Oracle,https://www.dbi-services.com/blog/introduction-to-oracle-big-data-services/,The main product of the Oracle Big Data offering is the Oracle Big Data Appliance. OBDA is an engineered systems based on the Cloudera distribution. The Big Data appliance offers you an easy-to-deploy solution with Cloudera manager for managing a Big Data cluster including a complete Hadoop ecosystem ready-to-use.,0.0023933970369398594,1.0,1.0,0.551077028666623,5,0,1,0,False,False,ru,en,True,False,unknown
Oracle,Большие данные Oracle,https://ronekins.com/2019/12/15/getting-started-with-oracle-bigdata-and-s3-part1/,"Ron is an Oracle ACE Director, TOGAF Certified Enterprise Architect, and Oracle and Azure Cloud certified Architect with over 30 years experience in design, development and delivery of large enterprise solutions, from conception through to handover and closure. Ron is a leader in data management and inventor with 5 patents filed in data security, governance, management, and ERG (environmental, social governance).",0.0008871909230947495,0.32,0.66,0.3633992359153927,2,0,0,0,False,False,ru,en,True,False,spam
Oracle,Большие данные Oracle,https://logistics.ru/automation/news/oracle-big-data-sql-rasshiryaet-portfolio-resheniy-oracle-dlya-bolshih-dannyh,"Новый продукт Oracle Big Data SQL позволит клиентам безопасно интегрировать данные Hadoop, NoSQL и Oracle Database с использованием SQL. Организациям необходимы инновационные методы управления растущими объемами данных, получаемых из большего числа источников.",0.9989606142044067,1.0,1.0,0.9995322763919832,6,0,1,0,False,False,ru,ru,False,False,useful
Oracle,Большие данные Oracle,https://indico.cern.ch/event/214139/contributions/432136/attachments/339368/473621/Oracle_BigData-Cern.pdf,Oracle Big Data Appliance Software. • Oracle Enterprise Linux 5.6 • Oracle Hotspot Java VM • Cloudera’s Distribution. including Apache Hadoop • Cloudera Manager • Open Source Distribution of R • Oracle NoSQL Database. Community Edition.,0.0008845161064527929,1.0,1.0,0.5503980322479038,7,0,0,0,False,False,ru,en,True,False,unknown
Oracle,Большие данные Oracle,https://grokipedia.com/page/oracle_big_data_appliance,"Oracle Big Data Appliance is an engineered system developed by Oracle Corporation, combining optimized hardware and software to provide a high-performance, secure platform for processing and analyzing large-scale data using Hadoop, Spark, and related technologies.",0.034345842897892,0.96,0.98,0.5544556293040515,6,0,0,0,False,False,ru,en,True,False,unknown
Oracle,Большие данные Oracle,https://www.greentecsystems.com/oracle-big-data-appliance-best-approach-big-data-analysis/,"The Oracle Big Data Appliance comes with strong security features that are industry leading. The appliance carries out comprehensive authorization, authentication, and auditing of data in the Hadoop environment as a default task. The system also uses Apache Sentry to grant SQL access through tools like Impala.",0.0014340360648930073,1.0,1.0,0.5506453162292019,5,0,1,0,False,False,ru,en,True,False,unknown
